,Gen,Name,Wins,Loses,Draws
3,70,dArwIn_G70_1b,2,1,0
4,70,dArwIn_G70_2a,2,1,0
5,70,dArwIn_G70_2b,2,1,0
6,70,dArwIn_G70_3a,1,2,0
7,70,dArwIn_G70_3b,2,1,0
0,71,dArwIn_G71_0a,3,0,0
1,71,dArwIn_G71_0b,2,1,0
2,71,dArwIn_G71_1a,2,1,0
3,71,dArwIn_G71_1b,1,2,0
4,71,dArwIn_G71_2a,1,2,0
5,71,dArwIn_G71_2b,2,1,0
6,71,dArwIn_G71_3a,2,1,0
7,71,dArwIn_G71_3b,3,0,0
0,72,dArwIn_G72_0a,2,1,0
1,72,dArwIn_G72_0b,2,1,0
2,72,dArwIn_G72_1a,1,2,0
3,72,dArwIn_G72_1b,1,2,0
4,72,dArwIn_G72_2a,2,1,0
5,72,dArwIn_G72_2b,3,0,0
6,72,dArwIn_G72_3a,2,1,0
7,72,dArwIn_G72_3b,2,1,0
0,73,dArwIn_G73_0a,2,1,0
1,73,dArwIn_G73_0b,2,1,0
2,73,dArwIn_G73_1a,2,1,0
3,73,dArwIn_G73_1b,3,0,0
4,73,dArwIn_G73_2a,2,1,0
5,73,dArwIn_G73_2b,2,1,0
6,73,dArwIn_G73_3a,2,1,0
7,73,dArwIn_G73_3b,3,0,0
0,74,dArwIn_G74_0a,2,1,0
1,74,dArwIn_G74_0b,2,1,0
2,74,dArwIn_G74_1a,1,2,0
3,74,dArwIn_G74_1b,2,1,0
4,74,dArwIn_G74_2a,1,2,0
5,74,dArwIn_G74_2b,2,1,0
6,74,dArwIn_G74_3a,1,2,0
7,74,dArwIn_G74_3b,2,1,0
0,75,dArwIn_G75_0a,2,1,0
1,75,dArwIn_G75_0b,1,2,0
2,75,dArwIn_G75_1a,1,2,0
3,75,dArwIn_G75_1b,1,2,0
4,75,dArwIn_G75_2a,2,1,0
5,75,dArwIn_G75_2b,2,1,0
6,75,dArwIn_G75_3a,3,0,0
7,75,dArwIn_G75_3b,3,0,0
0,76,dArwIn_G76_0a,2,1,0
1,76,dArwIn_G76_0b,2,1,0
2,76,dArwIn_G76_1a,2,1,0
3,76,dArwIn_G76_1b,2,1,0
4,76,dArwIn_G76_2a,2,1,0
5,76,dArwIn_G76_2b,2,1,0
6,76,dArwIn_G76_3a,2,1,0
7,76,dArwIn_G76_3b,2,1,0
0,77,dArwIn_G77_0a,2,1,0
1,77,dArwIn_G77_0b,1,2,0
2,77,dArwIn_G77_1a,2,1,0
3,77,dArwIn_G77_1b,1,2,0
4,77,dArwIn_G77_2a,2,1,0
5,77,dArwIn_G77_2b,2,1,0
6,77,dArwIn_G77_3a,2,1,0
7,77,dArwIn_G77_3b,1,2,0
0,78,dArwIn_G78_0a,1,2,0
1,78,dArwIn_G78_0b,2,1,0
2,78,dArwIn_G78_1a,2,1,0
3,78,dArwIn_G78_1b,2,1,0
4,78,dArwIn_G78_2a,2,1,0
5,78,dArwIn_G78_2b,2,1,0
6,78,dArwIn_G78_3a,1,2,0
7,78,dArwIn_G78_3b,2,1,0
0,79,dArwIn_G79_0a,2,1,0
1,79,dArwIn_G79_0b,2,1,0
2,79,dArwIn_G79_1a,1,2,0
3,79,dArwIn_G79_1b,3,0,0
4,79,dArwIn_G79_2a,2,1,0
5,79,dArwIn_G79_2b,3,0,0
